ID,Severity,Start_Time,Start_Lat,Start_Lng,Distance(mi),Traffic_Signal,Sunrise_Sunset
A-1,3,2016-02-08 05:46:00,39.865147,-84.058723,0.01,False,Night
A-2,2,2016-02-08 06:07:59,39.92805900000001,-82.831184,0.01,False,Night
A-3,2,2016-02-08 06:49:27,39.063148,-84.032608,0.01,True,Night
A-4,3,2016-02-08 07:23:34,39.747753,-84.20558199999998,0.01,False,Night
A-5,2,2016-02-08 07:39:07,39.627781,-84.188354,0.01,True,Day
A-6,3,2016-02-08 07:44:26,40.10059,-82.92519399999998,0.01,False,Day
A-7,2,2016-02-08 07:59:35,39.758274,-84.23050699999997,0.0,False,Day
A-8,3,2016-02-08 07:59:58,39.770382,-84.194901,0.01,False,Day
A-9,2,2016-02-08 08:00:40,39.778061,-84.172005,0.0,False,Day
A-10,3,2016-02-08 08:10:04,40.10059,-82.92519399999998,0.01,False,Day
A-11,3,2016-02-08 08:14:42,39.952812,-83.119293,0.01,False,Day
A-12,3,2016-02-08 08:21:27,39.932709,-82.83091,0.01,False,Day
A-13,2,2016-02-08 08:36:34,39.737633,-84.14993299999998,0.0,False,Day
A-14,2,2016-02-08 08:37:07,39.79076,-84.241547,0.01,True,Day
A-15,2,2016-02-08 08:39:43,39.972038,-82.913521,0.01,True,Day
A-16,2,2016-02-08 08:43:20,39.745888,-84.17041,0.01,False,Day
A-17,2,2016-02-08 08:53:17,39.748329,-84.224007,0.01,False,Day
A-18,2,2016-02-08 09:24:37,39.752174,-84.239952,0.0,False,Day
A-19,2,2016-02-08 09:25:17,39.740669,-84.184135,0.01,True,Day
A-20,2,2016-02-08 09:35:35,39.790703,-84.244461,0.01,False,Day
A-21,2,2016-02-08 10:11:15,40.052509,-82.88233199999998,0.0,False,Day
A-22,2,2016-02-08 10:24:27,39.773346,-84.224686,0.0,False,Day
A-23,2,2016-02-08 11:53:19,39.628288,-84.226151,0.01,True,Day
A-24,3,2016-02-08 12:00:00,40.023487,-82.994888,0.01,False,Day
A-25,2,2016-02-08 12:16:44,39.761379,-84.25921600000002,0.01,True,Day
A-26,2,2016-02-08 12:41:08,40.158024,-82.641762,1.32,False,Day
A-27,2,2016-02-08 12:52:05,39.733219,-84.159653,0.0,True,Day
A-28,2,2016-02-08 14:24:48,39.775303,-84.200523,0.0,True,Day
A-29,2,2016-02-08 14:56:57,39.789322,-84.23910500000002,0.01,False,Day
A-30,2,2016-02-08 15:26:14,39.75872,-84.183762,0.0,False,Day
A-31,2,2016-02-08 16:16:08,40.081459,-83.122398,0.01,True,Day
A-32,2,2016-02-08 17:39:24,39.83321,-84.112946,0.0,False,Day
A-33,3,2016-02-08 18:24:00,40.042725,-82.99730699999998,0.01,False,Night
A-34,3,2016-02-08 19:28:00,39.974415,-82.848854,0.01,False,Night
A-35,2,2016-02-08 20:22:38,39.994766,-83.02449,0.01,False,Night
A-36,2,2016-02-08 20:43:00,40.006477,-83.030991,1.09,True,Night
A-37,2,2016-02-09 04:28:48,39.742062,-84.186996,0.01,False,Night
A-38,2,2016-02-09 05:04:34,39.843521,-82.78157,0.01,True,Night
A-39,2,2016-02-09 05:17:08,39.782578,-84.178688,0.01,False,Night
A-40,3,2016-02-09 05:27:20,40.007626,-82.912155,0.01,False,Night
A-41,2,2016-02-09 05:40:57,39.447502,-84.19120799999997,0.0,False,Night
A-42,2,2016-02-09 05:47:16,39.787731,-84.173439,0.01,True,Night
A-43,2,2016-02-09 05:56:10,39.426277,-83.624611,0.01,False,Night
A-44,3,2016-02-09 06:06:45,39.978306,-82.852554,0.01,False,Night
A-45,3,2016-02-09 06:13:33,39.84182,-84.18960600000003,0.01,True,Night
A-46,3,2016-02-09 06:12:49,39.953625,-82.958954,0.01,False,Night
A-47,2,2016-02-09 06:21:50,40.053082,-83.049644,0.01,True,Night
A-48,3,2016-02-09 06:20:46,39.936874,-82.878723,0.01,False,Night
A-49,2,2016-02-09 06:34:41,39.780643,-84.16349,0.01,True,Night
A-50,3,2016-02-09 06:41:09,39.773193,-84.187454,0.01,False,Night
A-51,2,2016-02-09 06:48:18,39.77858,-84.20468100000002,0.01,False,Night
A-52,2,2016-02-09 06:53:09,39.792988,-84.20607,0.01,False,Night
A-53,3,2016-02-09 06:54:31,39.770382,-84.194901,0.01,False,Night
A-54,3,2016-02-09 07:03:20,39.976398,-83.119225,0.01,False,Night
A-55,3,2016-02-09 07:05:37,39.6395,-84.23136099999998,0.01,False,Night
A-56,2,2016-02-09 07:04:58,39.232578,-84.159286,0.01,False,Night
A-57,2,2016-02-09 07:15:41,39.746593,-84.23912,0.01,True,Night
A-58,2,2016-02-09 07:41:01,39.742783,-84.182472,0.01,False,Day
A-59,2,2016-02-09 07:42:43,39.75452,-84.159279,0.01,False,Day
A-60,2,2016-02-09 07:42:11,39.749916,-84.139359,0.01,False,Day
A-61,3,2016-02-09 07:46:41,40.100903,-82.98410799999998,0.01,False,Day
A-62,2,2016-02-09 07:54:44,39.77280800000001,-84.201851,0.0,False,Day
A-63,2,2016-02-09 08:06:39,39.492485,-84.131798,0.01,False,Day
A-64,2,2016-02-09 08:12:44,39.570904,-84.251724,0.01,False,Day
A-65,2,2016-02-09 08:10:20,39.834282,-82.74382,0.0,False,Day
A-66,3,2016-02-09 08:23:36,39.622787,-84.229858,0.01,False,Day
A-67,3,2016-02-09 08:24:29,39.429871,-84.079666,0.01,False,Day
A-68,3,2016-02-09 08:20:30,41.407391,-81.64676700000003,0.01,False,Day
A-69,3,2016-02-09 08:35:53,41.424404,-81.57867399999998,0.01,False,Day
A-70,3,2016-02-09 10:06:46,39.89217,-83.039169,0.01,False,Day
A-71,2,2016-02-09 11:09:37,41.022358,-83.650345,0.01,True,Day
A-72,2,2016-02-10 06:18:16,39.206806,-84.053253,0.0,False,Night
A-73,3,2016-02-10 06:06:00,39.973797,-83.022285,0.01,False,Night
A-74,2,2016-02-10 06:24:29,40.048008,-82.86421999999997,0.0,True,Night
A-75,2,2016-02-10 06:53:02,39.814526,-84.021744,0.01,False,Night
A-76,3,2016-02-10 07:50:52,40.151196,-84.22003199999997,0.01,False,Day
A-77,3,2016-02-10 07:50:08,39.954617,-82.844238,0.01,False,Day
A-78,2,2016-02-10 08:01:30,38.990551,-84.207497,0.01,False,Day
