timestamp,complaint_type,borough,status
12/31/2015 11:59:45 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 11:59:44 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:59:29 PM,Blocked Driveway,BRONX,Closed
12/31/2015 11:57:46 PM,Illegal Parking,BRONX,Closed
12/31/2015 11:56:58 PM,Illegal Parking,QUEENS,Closed
12/31/2015 11:56:30 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 11:55:32 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 11:54:05 PM,Blocked Driveway,BRONX,Closed
12/31/2015 11:53:58 PM,Illegal Parking,QUEENS,Closed
12/31/2015 11:53:58 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 11:52:58 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:50:57 PM,Blocked Driveway,BRONX,Closed
12/31/2015 11:48:03 PM,Noise - Street/Sidewalk,BRONX,Closed
12/31/2015 11:47:58 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 11:47:37 PM,Derelict Vehicle,QUEENS,Closed
12/31/2015 11:47:30 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:47:02 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:44:52 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:40:59 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:40:55 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 11:40:43 PM,Illegal Parking,BRONX,Closed
12/31/2015 11:38:51 PM,Illegal Parking,QUEENS,Closed
12/31/2015 11:34:18 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:32:46 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 11:31:40 PM,Blocked Driveway,BRONX,Closed
12/31/2015 11:30:28 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:26:41 PM,Noise - House of Worship,MANHATTAN,Closed
12/31/2015 11:26:35 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:25:56 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 11:25:01 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:22:51 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:21:24 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:19:22 PM,Blocked Driveway,BRONX,Closed
12/31/2015 11:18:10 PM,Illegal Parking,Unspecified,Closed
12/31/2015 11:16:06 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:15:27 PM,Illegal Parking,QUEENS,Closed
12/31/2015 11:13:47 PM,Blocked Driveway,BROOKLYN,Closed
12/31/2015 11:12:45 PM,Illegal Parking,QUEENS,Closed
12/31/2015 11:11:33 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 11:11:24 PM,Posting Advertisement,STATEN ISLAND,Closed
12/31/2015 11:11:18 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 11:10:03 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:09:55 PM,Posting Advertisement,STATEN ISLAND,Closed
12/31/2015 11:09:25 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 11:09:16 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 11:08:41 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 11:08:26 PM,Posting Advertisement,STATEN ISLAND,Closed
12/31/2015 11:07:32 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 11:07:20 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 11:06:58 PM,Posting Advertisement,STATEN ISLAND,Closed
12/31/2015 11:06:08 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 11:05:23 PM,Posting Advertisement,STATEN ISLAND,Closed
12/31/2015 11:03:36 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:58:24 PM,Illegal Parking,MANHATTAN,Closed
12/31/2015 10:58:16 PM,Noise - Street/Sidewalk,MANHATTAN,Closed
12/31/2015 10:57:52 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 10:57:51 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:57:49 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:56:33 PM,Illegal Parking,BRONX,Closed
12/31/2015 10:56:10 PM,Noise - Commercial,QUEENS,Closed
12/31/2015 10:53:46 PM,Illegal Parking,BRONX,Closed
12/31/2015 10:52:24 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:50:12 PM,Blocked Driveway,MANHATTAN,Closed
12/31/2015 10:48:41 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:48:38 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 10:48:06 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:48:03 PM,Noise - Commercial,QUEENS,Closed
12/31/2015 10:47:46 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:47:15 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:46:37 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:46:35 PM,Blocked Driveway,BRONX,Closed
12/31/2015 10:46:24 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 10:46:04 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:45:50 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:45:29 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:45:10 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:44:50 PM,Blocked Driveway,BRONX,Closed
12/31/2015 10:44:23 PM,Noise - Street/Sidewalk,BROOKLYN,Closed
12/31/2015 10:44:01 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:43:34 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:43:14 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:41:48 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:41:30 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:40:46 PM,Illegal Parking,BROOKLYN,Closed
12/31/2015 10:40:16 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:40:01 PM,Illegal Parking,QUEENS,Closed
12/31/2015 10:38:47 PM,Noise - Commercial,MANHATTAN,Closed
12/31/2015 10:38:31 PM,Noise - Vehicle,BROOKLYN,Closed
12/31/2015 10:38:15 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:38:04 PM,Animal Abuse,QUEENS,Closed
12/31/2015 10:37:41 PM,Noise - Commercial,BROOKLYN,Closed
12/31/2015 10:37:11 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:35:34 PM,Blocked Driveway,QUEENS,Closed
12/31/2015 10:34:10 PM,Blocked Driveway,BRONX,Closed
12/31/2015 10:33:15 PM,Blocked Driveway,QUEENS,Closed
