timestamp,traffic_volume,temperature,weather_main,weather_description,congestion_level
2012-10-02 09:00:00,5545,288.28,Clouds,scattered clouds,High
2012-10-02 10:00:00,4516,289.36,Clouds,broken clouds,Medium
2012-10-02 11:00:00,4767,289.58,Clouds,overcast clouds,Medium
2012-10-02 12:00:00,5026,290.13,Clouds,overcast clouds,High
2012-10-02 13:00:00,4918,291.14,Clouds,broken clouds,Medium
2012-10-02 14:00:00,5181,291.72,Clear,sky is clear,High
2012-10-02 15:00:00,5584,293.17,Clear,sky is clear,High
2012-10-02 16:00:00,6015,293.86,Clear,sky is clear,High
2012-10-02 17:00:00,5791,294.14,Clouds,few clouds,High
2012-10-02 18:00:00,4770,293.1,Clouds,few clouds,Medium
2012-10-02 19:00:00,3539,290.97,Clouds,few clouds,Medium
2012-10-02 20:00:00,2784,289.38,Clear,sky is clear,Medium
2012-10-02 21:00:00,2361,288.61,Clear,sky is clear,Medium
2012-10-02 22:00:00,1529,287.16,Clear,sky is clear,Low
2012-10-02 23:00:00,963,285.45,Clear,sky is clear,Low
2012-10-03 00:00:00,506,284.63,Clear,sky is clear,Low
2012-10-03 01:00:00,321,283.47,Clear,sky is clear,Low
2012-10-03 02:00:00,273,281.18,Clear,sky is clear,Low
2012-10-03 03:00:00,367,281.09,Clear,sky is clear,Low
2012-10-03 04:00:00,814,279.53,Clear,sky is clear,Low
2012-10-03 05:00:00,2718,278.62,Clear,sky is clear,Medium
2012-10-03 06:00:00,5673,278.23,Clear,sky is clear,High
2012-10-03 08:00:00,6511,278.12,Clear,sky is clear,High
2012-10-03 09:00:00,5471,282.48,Clear,sky is clear,High
2012-10-03 12:00:00,5097,291.97,Clear,sky is clear,High
2012-10-03 13:00:00,4887,293.23,Clear,sky is clear,Medium
2012-10-03 14:00:00,5337,294.31,Clear,sky is clear,High
2012-10-03 15:00:00,5692,295.17,Clear,sky is clear,High
2012-10-03 16:00:00,6137,295.13,Clear,sky is clear,High
2012-10-03 18:00:00,4623,293.66,Clouds,few clouds,Medium
2012-10-03 19:00:00,3591,290.65,Clouds,few clouds,Medium
2012-10-03 20:00:00,2898,288.19,Clouds,few clouds,Medium
2012-10-03 21:00:00,2637,287.1,Clear,sky is clear,Medium
2012-10-03 22:00:00,1777,286.25,Clear,sky is clear,Low
2012-10-03 23:00:00,1015,285.26,Clear,sky is clear,Low
2012-10-04 00:00:00,598,284.55,Clear,sky is clear,Low
2012-10-04 01:00:00,369,283.47,Clear,sky is clear,Low
2012-10-04 02:00:00,312,283.17,Clear,sky is clear,Low
2012-10-04 03:00:00,367,282.04,Clear,sky is clear,Low
2012-10-04 04:00:00,835,281.69,Clear,sky is clear,Low
2012-10-04 05:00:00,2726,281.32,Clear,sky is clear,Medium
2012-10-04 06:00:00,5689,280.74,Clear,sky is clear,High
